request_id,pickup_location,dropoff_location,request_time,deadline,priority,package_size,status,delivery_time,turnaround_time
0,19,49,0.0,38.79049026057455,1,3,DELIVERED,27.461034867322482,27.461034867322482
1,43,4,30.0,129.41433120173514,0,3,DELIVERED,74.03429801720657,44.03429801720657
2,45,28,30.0,138.4314531168946,1,2,DELIVERED,57.4209526839616,27.420952683961602
3,29,15,60.0,134.05074842498067,2,3,DELIVERED,81.29939290192853,21.299392901928528
4,13,38,90.0,150.51268119438305,0,3,DELIVERED,157.01720532778484,67.01720532778484
5,14,36,90.0,176.80247633975367,1,2,DELIVERED,113.89086325908892,23.890863259088917
6,26,49,120.0,232.19164973008242,0,1,DELIVERED,166.55459907060336,46.55459907060336
7,49,20,120.0,221.56675752918335,0,2,DELIVERED,135.9050153772652,15.905015377265187
8,12,7,120.0,234.00926772715349,0,1,DELIVERED,142.66111034504488,22.661110345044875
9,25,49,150.0,191.4920756480219,0,3,DELIVERED,199.0756328763244,49.07563287632439
10,0,26,150.0,241.92270091575352,1,1,DELIVERED,187.91470235352787,37.91470235352787
11,25,15,150.0,222.9943401792205,0,1,DELIVERED,189.52455650052485,39.52455650052485
12,23,39,150.0,253.24155177362536,1,1,DELIVERED,168.16111869632275,18.161118696322745
13,7,33,240.0,271.99662678272716,0,2,DELIVERED,264.5511486457101,24.5511486457101
14,49,35,240.0,322.16849410245646,0,3,DELIVERED,263.8606345059735,23.860634505973508
15,47,29,360.0,401.98052357287304,1,3,DELIVERED,399.78811006312037,39.78811006312037
16,30,28,390.0,452.88211377066517,0,2,DELIVERED,409.4568684845654,19.456868484565405
17,17,13,390.0,465.5493560723412,2,1,DELIVERED,416.1337549761173,26.133754976117302
18,41,45,420.0,471.21225714585,1,2,DELIVERED,449.65615604923903,29.65615604923903
19,41,30,450.0,481.098276508624,0,2,DELIVERED,477.1564193029181,27.156419302918096
20,48,33,450.0,526.6954251413465,0,1,DELIVERED,486.1830329966453,36.183032996645295
21,7,38,450.0,486.03688296495847,1,3,DELIVERED,477.9776605975203,27.9776605975203
22,25,23,450.0,501.88549718995085,1,2,DELIVERED,499.6912833715889,49.691283371588895
23,12,26,480.0,546.2295039237283,0,2,DELIVERED,522.7237032724986,42.7237032724986
24,23,40,480.0,535.982436309363,0,1,DELIVERED,518.4460751985041,38.446075198504104
25,29,12,480.0,567.5054446800835,1,1,DELIVERED,533.7437917472864,53.74379174728642
26,43,12,480.0,561.5184983490119,1,1,DELIVERED,518.6833506826399,38.68335068263991
27,33,6,510.0,555.0330551482867,2,3,DELIVERED,567.7942420558774,57.79424205587736
28,6,15,510.0,565.3251864519774,0,2,DELIVERED,559.9379498439708,49.93794984397084
29,45,24,510.0,540.1008100332099,0,1,DELIVERED,561.086577485812,51.08657748581197
30,42,13,510.0,593.495627330569,0,1,DELIVERED,566.152152888041,56.15215288804097
31,7,41,510.0,604.3431636182023,0,3,DELIVERED,594.00179300172,84.00179300171999
32,31,35,510.0,553.1329866631631,0,2,DELIVERED,549.0625583095754,39.062558309575365
33,23,22,510.0,612.1555274762812,0,3,DELIVERED,524.5823200138093,14.582320013809294
34,34,47,540.0,624.5569842205055,0,2,EXPIRED,,
35,26,30,540.0,591.1206634435396,1,2,EXPIRED,,
36,38,46,540.0,627.520794403395,1,3,DELIVERED,578.0614774909182,38.06147749091815
37,29,18,540.0,637.7184986354015,0,3,DELIVERED,622.1956780093456,82.19567800934556
38,39,19,540.0,579.8026507662058,0,1,DELIVERED,591.1440127207707,51.14401272077066
39,48,31,540.0,579.6189230785269,0,2,DELIVERED,587.9965539648099,47.99655396480989
40,41,48,570.0,623.1195462881143,1,1,DELIVERED,624.2793136496048,54.279313649604774
41,14,39,570.0,665.7585459215321,0,2,DELIVERED,620.5820882716728,50.582088271672774
42,8,33,570.0,631.1689591730103,0,1,DELIVERED,630.3054835967108,60.305483596710815
43,4,18,570.0,615.7354764534372,0,1,DELIVERED,614.0730887826152,44.07308878261517
44,29,15,570.0,656.9870663412117,0,1,DELIVERED,670.0482124326048,100.04821243260483
45,11,5,600.0,707.3608708482251,0,2,DELIVERED,683.2253789315834,83.22537893158335
46,5,39,600.0,689.5233549963373,0,3,DELIVERED,730.5128048517183,130.51280485171833
47,41,48,600.0,714.8768253970237,0,1,DELIVERED,633.8504225421916,33.85042254219161
48,8,23,600.0,669.0420461029295,0,2,DELIVERED,650.5079031696408,50.50790316964083
49,17,46,600.0,642.4040609243311,1,2,EXPIRED,,
50,46,7,600.0,713.9801998209202,1,1,DELIVERED,669.9690254483617,69.96902544836166
51,11,7,600.0,698.8961609091999,0,1,DELIVERED,643.5490248402671,43.549024840267066
52,28,48,630.0,687.7828869035876,2,1,DELIVERED,664.4165096224558,34.416509622455806
53,8,36,630.0,728.1076355119772,0,1,DELIVERED,670.7862276883017,40.786227688301665
54,0,6,630.0,675.1968786009918,0,1,EXPIRED,,
55,33,49,630.0,681.990594670782,0,2,DELIVERED,653.05037087729,23.050370877289993
56,42,25,660.0,690.0169559600923,0,2,DELIVERED,706.8723706914004,46.87237069140042
57,31,1,660.0,756.8873878858443,0,2,DELIVERED,716.2190110323373,56.219011032337335
58,44,46,660.0,701.8524094624835,0,1,DELIVERED,695.2497661086825,35.24976610868248
59,32,4,660.0,729.4684639683692,0,2,DELIVERED,700.3430670986671,40.34306709866712
60,43,5,690.0,787.4865687992819,0,1,DELIVERED,742.8416663875803,52.84166638758029
61,44,22,690.0,797.1806103895156,2,3,DELIVERED,750.4280342534947,60.42803425349473
62,43,8,690.0,728.9371982478324,0,3,DELIVERED,714.5458581227946,24.545858122794584
63,25,33,690.0,780.9648589366845,0,3,DELIVERED,732.8873254514901,42.88732545149014
64,37,24,690.0,747.2202730460442,0,3,DELIVERED,725.3592340314326,35.35923403143261
65,37,38,690.0,809.5183777403998,0,2,DELIVERED,823.2586556970389,133.25865569703888
66,47,17,720.0,804.3143786439041,0,1,DELIVERED,807.2125317881621,87.2125317881621
67,2,38,720.0,816.6813650536865,0,3,DELIVERED,776.56705069959,56.56705069959003
68,36,29,720.0,782.404541931088,2,1,DELIVERED,784.6569168766537,64.65691687665367
69,14,16,720.0,810.0179994495829,1,2,DELIVERED,761.3013116761823,41.30131167618231
70,17,32,720.0,796.6164474941321,0,2,DELIVERED,807.1267288122932,87.12672881229321
71,33,18,720.0,774.8613592477637,2,3,DELIVERED,757.0969182971927,37.0969182971927
72,16,24,720.0,797.0285745058848,0,1,EXPIRED,,
73,49,43,720.0,793.2801131942708,1,2,EXPIRED,,
74,22,32,720.0,802.2079951202509,0,2,DELIVERED,763.09184974745,43.091849747450055
75,31,15,720.0,803.1387980840424,0,2,EXPIRED,,
76,5,43,720.0,761.6947235041147,0,1,DELIVERED,768.6354832941829,48.635483294182905
77,48,34,750.0,853.4769706468528,0,3,EXPIRED,,
78,28,9,750.0,818.8817034835056,2,2,DELIVERED,812.1343883788469,62.13438837884689
79,7,3,750.0,827.3180597603222,0,2,DELIVERED,841.9409235706612,91.9409235706612
80,11,23,750.0,819.4546482027686,2,1,DELIVERED,775.1568563962544,25.156856396254398
81,34,30,750.0,783.1507123326126,1,2,EXPIRED,,
82,46,26,750.0,829.8042169079173,0,1,DELIVERED,829.4217503732651,79.42175037326513
83,25,17,750.0,794.9173359268699,1,2,DELIVERED,784.4348528457931,34.4348528457931
84,5,3,750.0,849.5688049175028,2,1,EXPIRED,,
