step,time,action,reward,pending_requests,total_deliveries,traffic_state,fleet_utilization
1,30.0,0,8.19012,2,1,NORMAL_TRAFFIC,0.0
2,30.0,8,-0.9999999997415934,1,1,LOW_TRAFFIC,0.2
3,60.0,2,0.7309915475507889,1,2,CONGESTION,0.2
4,90.0,1,1.4613040227417664,2,4,CONGESTION,0.0
5,90.0,6,-1.0050402952106465,1,4,LOW_TRAFFIC,0.2
6,120.0,3,0.029263194184697368,3,5,LOW_TRAFFIC,0.2
7,120.0,5,-0.8962870447841291,2,5,LOW_TRAFFIC,0.4
8,120.0,7,-0.796684366500663,1,5,LOW_TRAFFIC,0.6
9,150.0,1,1.3731570301554676,4,7,LOW_TRAFFIC,0.4
10,150.51268119438305,15,-0.834830951845077,3,7,LOW_TRAFFIC,0.6
11,152.01720532778484,7,-0.850443116592236,2,7,LOW_TRAFFIC,0.8
12,157.01720532778484,9,-1.8937768417674685,1,8,LOW_TRAFFIC,0.8
13,240.0,3,2.070110850253859,2,13,LOW_TRAFFIC,0.0
14,240.0,1,-0.5922193991227005,1,13,LOW_TRAFFIC,0.2
15,360.0,3,1.287660101920044,1,15,NORMAL_TRAFFIC,0.0
16,390.0,3,-0.7584751261146678,2,15,NORMAL_TRAFFIC,0.2
17,390.0,0,-0.5720338601867343,1,15,NORMAL_TRAFFIC,0.4
18,420.0,2,2.130136654680056,1,18,NORMAL_TRAFFIC,0.0
19,450.0,0,0.19042769775590174,4,19,NORMAL_TRAFFIC,0.0
20,452.88211377066517,4,-0.6770839296311827,3,19,NORMAL_TRAFFIC,0.2
21,455.9886012482787,8,-0.6140526252192126,2,19,NORMAL_TRAFFIC,0.4
22,457.1179234095874,2,-0.5891602750820387,1,19,NORMAL_TRAFFIC,0.6
23,480.0,1,1.048528001079471,4,21,HEAVY_TRAFFIC,0.4
24,481.098276508624,19,-0.6396399841812582,3,21,HEAVY_TRAFFIC,0.6
25,481.1830329966453,5,-0.5635079638751816,2,21,HEAVY_TRAFFIC,0.8
26,486.1830329966453,8,0.4313655287676557,1,22,HEAVY_TRAFFIC,0.8
27,510.0,2,0.26967541285943475,7,23,HEAVY_TRAFFIC,0.8
28,518.4460751985041,31,0.4182062788655767,6,24,HEAVY_TRAFFIC,0.8
29,518.6833506826399,25,0.4881032334820474,5,25,HEAVY_TRAFFIC,0.8
30,522.7237032724986,4,0.4706913450755002,4,26,HEAVY_TRAFFIC,0.8
31,524.5823200138093,2,0.40171671354839666,3,27,HEAVY_TRAFFIC,0.8
32,533.7437917472864,1,0.2624958983704839,2,28,HEAVY_TRAFFIC,0.8
33,549.0625583095754,3,0.27100332406416566,7,29,HEAVY_TRAFFIC,0.8
34,559.9379498439708,15,0.3662870024279279,6,30,HEAVY_TRAFFIC,0.8
35,561.086577485812,27,-1.8654765565526594,5,31,HEAVY_TRAFFIC,0.8
36,566.152152888041,21,0.5025709786567436,4,32,HEAVY_TRAFFIC,0.8
37,567.7942420558774,3,-1.8052740022433473,3,33,HEAVY_TRAFFIC,0.8
38,578.0614774909182,9,0.32425313655077426,7,34,HEAVY_TRAFFIC,0.8
39,587.9965539648099,25,-1.7414461684502884,6,35,HEAVY_TRAFFIC,0.8
40,591.1206634435396,12,-2.259273082331615,5,35,HEAVY_TRAFFIC,0.8
41,591.1440127207707,19,-1.5649620870046852,4,36,HEAVY_TRAFFIC,0.8
42,594.00179300172,11,0.5791341458110044,3,37,HEAVY_TRAFFIC,0.8
43,614.0730887826152,8,0.41201930318565594,9,38,HEAVY_TRAFFIC,0.8
44,620.5820882716728,20,0.510955163461984,8,39,HEAVY_TRAFFIC,0.8
45,622.1956780093456,1,0.4839277801891316,7,40,HEAVY_TRAFFIC,0.8
46,624.2793136496048,33,-1.5370809567586086,6,41,HEAVY_TRAFFIC,0.8
47,624.5569842205055,17,-1.9669361176842808,5,41,HEAVY_TRAFFIC,0.8
48,630.3054835967108,16,0.5286478027820648,8,42,NORMAL_TRAFFIC,0.8
49,633.8504225421916,39,0.6231407625246549,7,43,NORMAL_TRAFFIC,0.8
