experiment,method,total_requests_mean,total_requests_std,delivered_requests_mean,delivered_requests_std,expired_requests_mean,expired_requests_std,total_distance_mean,total_distance_std,total_fuel_consumed_mean,total_fuel_consumed_std,avg_turnaround_time_mean,avg_turnaround_time_std,sla_compliance_rate_mean,sla_compliance_rate_std,fleet_utilization_mean,fleet_utilization_std,total_reward_mean,total_reward_std,avg_inference_latency_ms_mean,avg_inference_latency_ms_std,requests_per_second_mean,requests_per_second_std,completion_rate_mean,completion_rate_std,num_episodes
baseline_comparison,nearest_vehicle,215.6667,13.0213,169.3333,4.9216,45.3333,9.3927,1418.4417,27.0462,113.4753,2.1641,48.0527,2.193,0.8452,0.0247,0.0,0.0,-18.007,13.2988,0.3128,0.1141,0.0,0.0,0.787,0.0335,3
baseline_comparison,greedy,215.6667,13.0213,163.3333,4.4969,51.3333,15.9652,1597.065,27.944,127.765,2.2356,54.955,1.4561,0.7075,0.0347,0.0,0.0,-33.681,5.2391,0.3255,0.1575,0.0,0.0,0.761,0.0624,3
baseline_comparison,ortools,215.6667,13.0213,169.3333,4.0277,45.3333,11.8415,1447.1373,12.7151,115.771,1.0172,50.087,2.908,0.7664,0.0459,0.0,0.0,-19.9587,11.8037,19.9346,4.6551,0.0,0.0,0.7877,0.0449,3
baseline_comparison,mcts_10,15.0,4.9666,12.6667,3.6818,2.3333,2.0548,145.09,27.2252,11.6073,2.1781,52.7957,6.5346,0.7417,0.0265,0.0,0.0,-0.856,3.1131,12.6445,2.825,0.0,0.0,0.8723,0.1145,3
baseline_comparison,mcts_50,1.6667,0.9428,1.6667,0.9428,0.0,0.0,18.9297,8.3302,1.5143,0.6663,37.5867,4.3499,1.0,0.0,0.0,0.0,-0.6687,1.7722,62.5864,16.6606,0.0,0.0,1.0,0.0,3
traffic_low_traffic,nearest_vehicle,209.0,11.0,172.0,3.0,36.5,8.5,1447.3545,8.6795,115.7885,0.6945,46.5575,1.7255,0.8666,0.0151,0.0,0.0,-13.2535,2.0595,0.3838,0.1255,0.0,0.0,0.8245,0.029,2
traffic_low_traffic,greedy,209.0,11.0,170.0,1.0,38.5,10.5,1567.565,12.858,125.4055,1.0285,51.634,3.208,0.7387,0.072,0.0,0.0,-33.1535,5.0345,0.4037,0.1416,0.0,0.0,0.8154,0.0381,2
traffic_low_traffic,ortools,209.0,11.0,171.0,0.0,37.5,11.5,1480.112,7.337,118.409,0.587,49.4875,2.8945,0.7866,0.0205,0.0,0.0,-17.8475,4.7625,19.3017,1.9097,0.0,0.0,0.8205,0.0432,2
traffic_high_traffic,nearest_vehicle,209.0,11.0,159.0,3.0,49.5,8.5,1330.9335,5.3925,106.4745,0.4315,51.0455,2.2035,0.8368,0.0158,0.0,0.0,-29.8285,0.8455,1.7732,0.6683,0.0,0.0,0.7622,0.0257,2
traffic_high_traffic,greedy,209.0,11.0,157.5,2.5,51.0,9.0,1499.468,29.943,119.9575,2.3955,58.501,1.996,0.6864,0.0426,0.0,0.0,-40.623,0.827,1.904,0.8683,0.0,0.0,0.755,0.0278,2
traffic_high_traffic,ortools,209.0,11.0,157.5,4.5,51.0,7.0,1371.8715,10.5395,109.75,0.843,54.87,2.329,0.744,0.0403,0.0,0.0,-27.2495,1.3525,25.6127,5.2347,0.0,0.0,0.7546,0.0181,2
demand_low_demand,nearest_vehicle,97.5,0.5,92.5,1.5,3.0,2.0,835.707,4.215,66.8565,0.3375,34.351,1.692,0.8966,0.0396,0.03,0.03,5.427,2.59,1.392,0.2004,0.0,0.0,0.9486,0.0106,2
demand_low_demand,greedy,97.5,0.5,93.5,1.5,2.0,2.0,856.6545,13.7075,68.5325,1.0965,34.9795,1.7515,0.8927,0.0231,0.03,0.03,5.3515,0.8895,1.3811,0.0873,0.0,0.0,0.9589,0.0105,2
demand_low_demand,ortools,97.5,0.5,91.5,1.5,4.0,2.0,802.1065,31.4975,64.1685,2.5195,34.5285,0.5785,0.9181,0.0041,0.03,0.03,8.824,8.066,20.16,0.3447,0.0,0.0,0.9384,0.0106,2
demand_high_demand,nearest_vehicle,417.5,7.5,203.0,1.0,211.0,8.0,1473.1115,35.4205,117.849,2.834,57.441,2.22,0.7561,0.0012,0.02,0.02,-46.327,5.671,2.036,0.9391,0.0,0.0,0.4864,0.0064,2
demand_high_demand,greedy,417.5,7.5,164.0,1.0,250.0,11.0,2277.8455,59.2575,182.2275,4.7405,68.454,2.286,0.5486,0.015,0.02,0.02,-46.865,13.797,1.593,0.6236,0.0,0.0,0.393,0.0094,2
demand_high_demand,ortools,417.5,7.5,195.0,5.0,219.5,4.5,1558.42,20.311,124.6735,1.6245,63.29,2.242,0.6077,0.0024,0.0,0.0,-55.4985,4.9845,24.3355,0.2715,0.0,0.0,0.467,0.0036,2
fleet_small_fleet,nearest_vehicle,209.0,11.0,121.0,2.0,87.5,13.5,988.908,3.291,79.1125,0.2635,52.786,2.456,0.7929,0.0282,0.0,0.0,-33.019,1.647,2.5805,0.7114,0.0,0.0,0.5811,0.0401,2
fleet_small_fleet,greedy,209.0,11.0,106.0,1.0,102.5,12.5,1288.758,0.352,103.1005,0.0285,60.1865,3.9445,0.6645,0.055,0.0,0.0,-47.744,4.741,2.025,0.3879,0.0,0.0,0.5089,0.0315,2
fleet_small_fleet,ortools,209.0,11.0,120.5,0.5,88.0,11.0,1012.6835,4.9845,81.0145,0.3985,55.033,2.337,0.7389,0.0528,0.0,0.0,-40.3905,9.1005,21.9812,1.2768,0.0,0.0,0.578,0.028,2
fleet_large_fleet,nearest_vehicle,209.0,11.0,206.0,11.0,2.5,0.5,1711.184,94.764,136.895,7.581,33.562,0.946,0.9367,0.0034,0.0,0.0,12.083,0.028,1.7294,0.4882,0.0,0.0,0.9856,0.0008,2
fleet_large_fleet,greedy,209.0,11.0,206.0,10.0,2.5,1.5,1731.3305,113.5865,138.5065,9.0865,34.108,0.842,0.9312,0.0179,0.0,0.0,13.382,2.586,1.6396,0.3512,0.0,0.0,0.9859,0.004,2
fleet_large_fleet,ortools,209.0,11.0,206.0,11.0,2.5,0.5,1671.2695,88.4405,133.7015,7.0755,34.4965,0.5065,0.9342,0.006,0.0,0.0,14.254,7.678,21.6992,0.8405,0.0,0.0,0.9856,0.0008,2
